num_poliza,nombre_producto,riesgo,sexo,moneda,fecha nacimiento,fecha inicio,fecha fin,gastos_adm,monto prima,suma_asegurada
c-02010502158160033093,producto02,Vida grupo particular,F,PEN,1964-04-14,2021-06-30,2025-07-10,0.1,90.0,1100.0
c-02010502168060033093,producto02,Vida grupo particular,F,PEN,1953-06-07,2021-06-30,2027-07-05,0.1,61.0,850.0
c-02010502172110033091,producto02,Vida grupo particular,F,PEN,1966-05-14,2021-06-30,2025-07-04,0.1,21.0,850.0
c-02010502175260033091,producto02,Vida grupo particular,F,PEN,1943-10-04,2021-06-30,2026-07-04,0.1,103.0,1300.0
c-02010502178500033093,producto02,Vida grupo particular,F,PEN,1978-02-28,2021-06-30,2025-07-05,0.1,24.0,700.0
c-02010502181740033094,producto02,Vida grupo particular,F,PEN,1984-05-29,2021-06-30,2025-01-04,0.1,20.0,1325.0
c-02010502195960033094,producto02,Vida grupo particular,F,PEN,1985-07-22,2021-06-30,2027-07-09,0.1,19.0,315.0
c-02010502197040033095,producto02,Vida grupo particular,F,PEN,1943-02-08,2021-06-30,2025-07-30,0.1,58.0,850.0
c-6701003023350,producto 01,Vida grupo particular,F,PEN,1977-02-10,2019-10-18,2024-10-18,0.1,83.0,1400.0
c-6701003037634,producto 01,Vida grupo particular,F,PEN,1995-07-09,2019-11-04,2024-12-04,0.1,232.0,2700.0
c-6701003053068,producto 01,Vida grupo particular,F,PEN,1974-04-22,2019-11-16,2024-07-16,0.1,31.0,3000.0
c-6701003069858,producto 01,Vida grupo particular,F,PEN,1946-09-27,2019-12-02,2024-12-02,0.1,150.0,3160.0
c-6701003070036,producto 01,Vida grupo particular,F,PEN,1959-04-05,2019-12-02,2024-12-02,0.1,5.0,2200.0
c-6701003070441,producto 01,Vida grupo particular,F,PEN,1969-03-18,2019-12-02,2024-12-02,0.1,28.0,1500.0
c-6701003070688,producto 01,Vida grupo particular,F,PEN,1944-09-20,2019-12-03,2024-12-03,0.1,127.0,2570.0
c-6701003070836,producto 01,Vida grupo particular,F,PEN,1948-09-26,2019-12-03,2024-12-03,0.1,55.0,2575.0
c-6701003070934,producto 01,Vida grupo particular,F,PEN,1977-10-26,2019-12-03,2024-12-03,0.1,115.0,1800.0
c-6701003071226,producto 01,Vida grupo particular,F,PEN,1946-11-16,2019-12-03,2024-12-03,0.1,211.0,2500.0
c-6701003071255,producto 01,Vida grupo particular,F,PEN,1940-03-12,2019-12-03,2024-12-03,0.1,28.0,1120.0
c-6701003071363,producto 01,Vida grupo particular,F,PEN,1948-04-10,2019-12-03,2024-12-03,0.1,138.0,2150.0
